Date,Season,Team,Opponent,HomeFlag,GF,GA,Manager,ManagerStart,ManagerEnd,MatchNumMgr,Window1,Window2,Window3
10/28/2018,2018/2019,Chelsea,Burnley,0,4,0,MAURIZIO SARRI,7/14/2018,6/30/2019,10,0,0,1
11/4/2018,2018/2019,Chelsea,Crystal Palace,1,3,1,MAURIZIO SARRI,7/14/2018,6/30/2019,11,0,0,0
11/11/2018,2018/2019,Chelsea,Everton,1,0,0,MAURIZIO SARRI,7/14/2018,6/30/2019,12,0,0,0
11/24/2018,2018/2019,Chelsea,Tottenham,0,1,3,MAURIZIO SARRI,7/14/2018,6/30/2019,13,0,0,0
12/2/2018,2018/2019,Chelsea,Fulham,1,2,0,MAURIZIO SARRI,7/14/2018,6/30/2019,14,0,0,0
12/5/2018,2018/2019,Chelsea,Wolves,0,1,2,MAURIZIO SARRI,7/14/2018,6/30/2019,15,0,0,0
12/8/2018,2018/2019,Chelsea,Manchester City,1,2,0,MAURIZIO SARRI,7/14/2018,6/30/2019,16,0,0,0
12/16/2018,2018/2019,Chelsea,Brighton,0,2,1,MAURIZIO SARRI,7/14/2018,6/30/2019,17,0,0,0
12/22/2018,2018/2019,Chelsea,Leicester City,1,0,1,MAURIZIO SARRI,7/14/2018,6/30/2019,18,0,0,0
12/26/2018,2018/2019,Chelsea,Watford,0,2,1,MAURIZIO SARRI,7/14/2018,6/30/2019,19,0,0,0
12/30/2018,2018/2019,Chelsea,Crystal Palace,0,1,0,MAURIZIO SARRI,7/14/2018,6/30/2019,20,0,0,0
1/2/2019,2018/2019,Chelsea,Southampton,1,0,0,MAURIZIO SARRI,7/14/2018,6/30/2019,21,0,0,0
1/12/2019,2018/2019,Chelsea,Newcastle Utd,1,2,1,MAURIZIO SARRI,7/14/2018,6/30/2019,22,0,0,0
1/19/2019,2018/2019,Chelsea,Arsenal,0,0,2,MAURIZIO SARRI,7/14/2018,6/30/2019,23,0,0,0
1/30/2019,2018/2019,Chelsea,Bournemouth,0,0,4,MAURIZIO SARRI,7/14/2018,6/30/2019,24,0,0,0
2/2/2019,2018/2019,Chelsea,Huddersfield,1,5,0,MAURIZIO SARRI,7/14/2018,6/30/2019,25,0,0,0
2/10/2019,2018/2019,Chelsea,Manchester City,0,0,6,MAURIZIO SARRI,7/14/2018,6/30/2019,26,0,0,0
2/27/2019,2018/2019,Chelsea,Tottenham,1,2,0,MAURIZIO SARRI,7/14/2018,6/30/2019,27,0,0,0
3/3/2019,2018/2019,Chelsea,Fulham,0,2,1,MAURIZIO SARRI,7/14/2018,6/30/2019,28,0,0,0
3/10/2019,2018/2019,Chelsea,Wolves,1,1,1,MAURIZIO SARRI,7/14/2018,6/30/2019,29,0,0,0
3/17/2019,2018/2019,Chelsea,Everton,0,0,2,MAURIZIO SARRI,7/14/2018,6/30/2019,30,0,0,0
3/31/2019,2018/2019,Chelsea,Cardiff City,0,2,1,MAURIZIO SARRI,7/14/2018,6/30/2019,31,0,0,0
4/3/2019,2018/2019,Chelsea,Brighton,1,3,0,MAURIZIO SARRI,7/14/2018,6/30/2019,32,0,0,0
1/27/2021,2020/2021,Chelsea,Wolves,1,0,0,THOMAS TUCHEL,1/26/2021,7/9/2022,1,1,0,0
1/31/2021,2020/2021,Chelsea,Burnley,1,2,0,THOMAS TUCHEL,1/26/2021,7/9/2022,2,1,0,0
2/4/2021,2020/2021,Chelsea,Tottenham,0,1,0,THOMAS TUCHEL,1/26/2021,7/9/2022,3,1,0,0
2/7/2021,2020/2021,Chelsea,Sheffield Utd,0,2,1,THOMAS TUCHEL,1/26/2021,7/9/2022,4,0,1,0
2/15/2021,2020/2021,Chelsea,Newcastle Utd,1,2,0,THOMAS TUCHEL,1/26/2021,7/9/2022,5,0,1,0
2/20/2021,2020/2021,Chelsea,Southampton,0,1,1,THOMAS TUCHEL,1/26/2021,7/9/2022,6,0,1,0
2/28/2021,2020/2021,Chelsea,Manchester Utd,1,0,0,THOMAS TUCHEL,1/26/2021,7/9/2022,7,0,0,1
3/4/2021,2020/2021,Chelsea,Liverpool,0,1,0,THOMAS TUCHEL,1/26/2021,7/9/2022,8,0,0,1
3/8/2021,2020/2021,Chelsea,Everton,1,2,0,THOMAS TUCHEL,1/26/2021,7/9/2022,9,0,0,1
3/13/2021,2020/2021,Chelsea,Leeds United,0,0,0,THOMAS TUCHEL,1/26/2021,7/9/2022,10,0,0,1
4/3/2021,2020/2021,Chelsea,West Brom,1,2,5,THOMAS TUCHEL,1/26/2021,7/9/2022,11,0,0,0
4/10/2021,2020/2021,Chelsea,Crystal Palace,0,4,1,THOMAS TUCHEL,1/26/2021,7/9/2022,12,0,0,0
4/20/2021,2020/2021,Chelsea,Brighton,1,0,0,THOMAS TUCHEL,1/26/2021,7/9/2022,13,0,0,0
4/24/2021,2020/2021,Chelsea,West Ham,0,1,0,THOMAS TUCHEL,1/26/2021,7/9/2022,14,0,0,0
5/1/2021,2020/2021,Chelsea,Fulham,1,2,0,THOMAS TUCHEL,1/26/2021,7/9/2022,15,0,0,0
5/8/2021,2020/2021,Chelsea,Manchester City,0,2,1,THOMAS TUCHEL,1/26/2021,7/9/2022,16,0,0,0
5/12/2021,2020/2021,Chelsea,Arsenal,1,0,1,THOMAS TUCHEL,1/26/2021,7/9/2022,17,0,0,0
5/18/2021,2020/2021,Chelsea,Leicester City,1,2,1,THOMAS TUCHEL,1/26/2021,7/9/2022,18,0,0,0
5/23/2021,2020/2021,Chelsea,Aston Villa,0,1,2,THOMAS TUCHEL,1/26/2021,7/9/2022,19,0,0,0
8/14/2021,2021/2022,Chelsea,Crystal Palace,1,3,0,THOMAS TUCHEL,1/26/2021,7/9/2022,20,0,0,0
8/22/2021,2021/2022,Chelsea,Arsenal,0,2,0,THOMAS TUCHEL,1/26/2021,7/9/2022,21,0,0,0
8/28/2021,2021/2022,Chelsea,Liverpool,0,1,1,THOMAS TUCHEL,1/26/2021,7/9/2022,22,0,0,0
9/11/2021,2021/2022,Chelsea,Aston Villa,1,3,0,THOMAS TUCHEL,1/26/2021,7/9/2022,23,0,0,0
9/19/2021,2021/2022,Chelsea,Tottenham,0,3,0,THOMAS TUCHEL,1/26/2021,7/9/2022,24,0,0,0
9/25/2021,2021/2022,Chelsea,Manchester City,1,0,1,THOMAS TUCHEL,1/26/2021,7/9/2022,25,0,0,0
10/2/2021,2021/2022,Chelsea,Southampton,1,3,1,THOMAS TUCHEL,1/26/2021,7/9/2022,26,0,0,0
10/16/2021,2021/2022,Chelsea,Brentford,0,1,0,THOMAS TUCHEL,1/26/2021,7/9/2022,27,0,0,0
10/23/2021,2021/2022,Chelsea,Norwich City,1,7,0,THOMAS TUCHEL,1/26/2021,7/9/2022,28,0,0,0
10/30/2021,2021/2022,Chelsea,Newcastle Utd,0,3,0,THOMAS TUCHEL,1/26/2021,7/9/2022,29,0,0,0
11/6/2021,2021/2022,Chelsea,Burnley,1,1,1,THOMAS TUCHEL,1/26/2021,7/9/2022,30,0,0,0
11/20/2021,2021/2022,Chelsea,Leicester City,0,3,0,THOMAS TUCHEL,1/26/2021,7/9/2022,31,0,0,0
11/28/2021,2021/2022,Chelsea,Manchester Utd,1,1,1,THOMAS TUCHEL,1/26/2021,7/9/2022,32,0,0,0
12/1/2021,2021/2022,Chelsea,Watford,0,2,1,THOMAS TUCHEL,1/26/2021,7/9/2022,33,0,0,0
12/4/2021,2021/2022,Chelsea,West Ham,0,2,3,THOMAS TUCHEL,1/26/2021,7/9/2022,34,0,0,0
12/11/2021,2021/2022,Chelsea,Leeds United,1,3,2,THOMAS TUCHEL,1/26/2021,7/9/2022,35,0,0,0
12/16/2021,2021/2022,Chelsea,Everton,1,1,1,THOMAS TUCHEL,1/26/2021,7/9/2022,36,0,0,0
12/19/2021,2021/2022,Chelsea,Wolves,0,0,0,THOMAS TUCHEL,1/26/2021,7/9/2022,37,0,0,0
12/26/2021,2021/2022,Chelsea,Aston Villa,0,3,1,THOMAS TUCHEL,1/26/2021,7/9/2022,38,0,0,0
12/29/2021,2021/2022,Chelsea,Brighton,1,1,1,THOMAS TUCHEL,1/26/2021,7/9/2022,39,0,0,0
1/2/2022,2021/2022,Chelsea,Liverpool,1,2,2,THOMAS TUCHEL,1/26/2021,7/9/2022,40,0,0,0
1/15/2022,2021/2022,Chelsea,Manchester City,0,0,1,THOMAS TUCHEL,1/26/2021,7/9/2022,41,0,0,0
1/18/2022,2021/2022,Chelsea,Brighton,0,1,1,THOMAS TUCHEL,1/26/2021,7/9/2022,42,0,0,0
1/23/2022,2021/2022,Chelsea,Tottenham,1,2,0,THOMAS TUCHEL,1/26/2021,7/9/2022,43,0,0,0
2/19/2022,2021/2022,Chelsea,Crystal Palace,0,1,0,THOMAS TUCHEL,1/26/2021,7/9/2022,44,0,0,0
3/5/2022,2021/2022,Chelsea,Burnley,0,4,0,THOMAS TUCHEL,1/26/2021,7/9/2022,45,0,0,0
3/10/2022,2021/2022,Chelsea,Norwich City,0,3,1,THOMAS TUCHEL,1/26/2021,7/9/2022,46,0,0,0
3/13/2022,2021/2022,Chelsea,Newcastle Utd,1,1,0,THOMAS TUCHEL,1/26/2021,7/9/2022,47,0,0,0
4/2/2022,2021/2022,Chelsea,Brentford,1,1,4,THOMAS TUCHEL,1/26/2021,7/9/2022,48,0,0,0
4/9/2022,2021/2022,Chelsea,Southampton,0,6,0,THOMAS TUCHEL,1/26/2021,7/9/2022,49,0,0,0
4/20/2022,2021/2022,Chelsea,Arsenal,1,2,4,THOMAS TUCHEL,1/26/2021,7/9/2022,50,0,0,0
4/24/2022,2021/2022,Chelsea,West Ham,1,1,0,THOMAS TUCHEL,1/26/2021,7/9/2022,51,0,0,0
4/28/2022,2021/2022,Chelsea,Manchester Utd,0,1,1,THOMAS TUCHEL,1/26/2021,7/9/2022,52,0,0,0
5/1/2022,2021/2022,Chelsea,Everton,0,0,1,THOMAS TUCHEL,1/26/2021,7/9/2022,53,0,0,0
5/7/2022,2021/2022,Chelsea,Wolves,1,2,2,THOMAS TUCHEL,1/26/2021,7/9/2022,54,0,0,0
5/11/2022,2021/2022,Chelsea,Leeds United,0,3,0,THOMAS TUCHEL,1/26/2021,7/9/2022,55,0,0,0
5/19/2022,2021/2022,Chelsea,Leicester City,1,1,1,THOMAS TUCHEL,1/26/2021,7/9/2022,56,0,0,0
5/22/2022,2021/2022,Chelsea,Watford,1,2,1,THOMAS TUCHEL,1/26/2021,7/9/2022,57,0,0,0
3/3/2015,2014/2015,Crystal Palace,Southampton,0,0,1,ALAN PARDEW,3/1/2015,1/1/2100,1,1,0,0
3/14/2015,2014/2015,Crystal Palace,QPR,1,3,1,ALAN PARDEW,3/1/2015,1/1/2100,2,1,0,0
3/21/2015,2014/2015,Crystal Palace,Stoke City,0,2,1,ALAN PARDEW,3/1/2015,1/1/2100,3,1,0,0
4/6/2015,2014/2015,Crystal Palace,Manchester City,1,2,1,ALAN PARDEW,3/1/2015,1/1/2100,4,0,1,0
4/11/2015,2014/2015,Crystal Palace,Sunderland,0,4,1,ALAN PARDEW,3/1/2015,1/1/2100,5,0,1,0
4/18/2015,2014/2015,Crystal Palace,West Brom,1,0,2,ALAN PARDEW,3/1/2015,1/1/2100,6,0,1,0
4/25/2015,2014/2015,Crystal Palace,Hull City,1,0,2,ALAN PARDEW,3/1/2015,1/1/2100,7,0,0,1
5/3/2015,2014/2015,Crystal Palace,Chelsea,0,0,1,ALAN PARDEW,3/1/2015,1/1/2100,8,0,0,1
5/9/2015,2014/2015,Crystal Palace,Manchester Utd,1,1,2,ALAN PARDEW,3/1/2015,1/1/2100,9,0,0,1
5/16/2015,2014/2015,Crystal Palace,Liverpool,0,3,1,ALAN PARDEW,3/1/2015,1/1/2100,10,0,0,1
5/24/2015,2014/2015,Crystal Palace,Swansea City,1,1,0,ALAN PARDEW,3/1/2015,1/1/2100,11,0,0,0
8/8/2015,2015/2016,Crystal Palace,Norwich City,0,3,1,ALAN PARDEW,3/1/2015,1/1/2100,12,0,0,0
8/16/2015,2015/2016,Crystal Palace,Arsenal,1,1,2,ALAN PARDEW,3/1/2015,1/1/2100,13,0,0,0
8/22/2015,2015/2016,Crystal Palace,Aston Villa,1,2,1,ALAN PARDEW,3/1/2015,1/1/2100,14,0,0,0
8/29/2015,2015/2016,Crystal Palace,Chelsea,0,2,1,ALAN PARDEW,3/1/2015,1/1/2100,15,0,0,0
9/12/2015,2015/2016,Crystal Palace,Manchester City,1,0,1,ALAN PARDEW,3/1/2015,1/1/2100,16,0,0,0
9/20/2015,2015/2016,Crystal Palace,Tottenham,0,0,1,ALAN PARDEW,3/1/2015,1/1/2100,17,0,0,0
9/27/2015,2015/2016,Crystal Palace,Watford,0,1,0,ALAN PARDEW,3/1/2015,1/1/2100,18,0,0,0
10/3/2015,2015/2016,Crystal Palace,West Brom,1,2,0,ALAN PARDEW,3/1/2015,1/1/2100,19,0,0,0
10/17/2015,2015/2016,Crystal Palace,West Ham,1,1,3,ALAN PARDEW,3/1/2015,1/1/2100,20,0,0,0
10/24/2015,2015/2016,Crystal Palace,Leicester City,0,0,1,ALAN PARDEW,3/1/2015,1/1/2100,21,0,0,0
10/31/2015,2015/2016,Crystal Palace,Manchester Utd,1,0,0,ALAN PARDEW,3/1/2015,1/1/2100,22,0,0,0
11/8/2015,2015/2016,Crystal Palace,Liverpool,0,2,1,ALAN PARDEW,3/1/2015,1/1/2100,23,0,0,0
11/23/2015,2015/2016,Crystal Palace,Sunderland,1,0,1,ALAN PARDEW,3/1/2015,1/1/2100,24,0,0,0
11/28/2015,2015/2016,Crystal Palace,Newcastle Utd,1,5,1,ALAN PARDEW,3/1/2015,1/1/2100,25,0,0,0
12/7/2015,2015/2016,Crystal Palace,Everton,0,1,1,ALAN PARDEW,3/1/2015,1/1/2100,26,0,0,0
12/12/2015,2015/2016,Crystal Palace,Southampton,1,1,0,ALAN PARDEW,3/1/2015,1/1/2100,27,0,0,0
12/19/2015,2015/2016,Crystal Palace,Stoke City,0,2,1,ALAN PARDEW,3/1/2015,1/1/2100,28,0,0,0
12/26/2015,2015/2016,Crystal Palace,Bournemouth,0,0,0,ALAN PARDEW,3/1/2015,1/1/2100,29,0,0,0
12/28/2015,2015/2016,Crystal Palace,Swansea City,1,0,0,ALAN PARDEW,3/1/2015,1/1/2100,30,0,0,0
1/3/2016,2015/2016,Crystal Palace,Chelsea,1,0,3,ALAN PARDEW,3/1/2015,1/1/2100,31,0,0,0
1/12/2016,2015/2016,Crystal Palace,Aston Villa,0,0,1,ALAN PARDEW,3/1/2015,1/1/2100,32,0,0,0
1/16/2016,2015/2016,Crystal Palace,Manchester City,0,0,4,ALAN PARDEW,3/1/2015,1/1/2100,33,0,0,0
1/23/2016,2015/2016,Crystal Palace,Tottenham,1,1,3,ALAN PARDEW,3/1/2015,1/1/2100,34,0,0,0
2/2/2016,2015/2016,Crystal Palace,Bournemouth,1,1,2,ALAN PARDEW,3/1/2015,1/1/2100,35,0,0,0
2/6/2016,2015/2016,Crystal Palace,Swansea City,0,1,1,ALAN PARDEW,3/1/2015,1/1/2100,36,0,0,0
2/13/2016,2015/2016,Crystal Palace,Watford,1,1,2,ALAN PARDEW,3/1/2015,1/1/2100,37,0,0,0
2/27/2016,2015/2016,Crystal Palace,West Brom,0,2,3,ALAN PARDEW,3/1/2015,1/1/2100,38,0,0,0
3/1/2016,2015/2016,Crystal Palace,Sunderland,0,2,2,ALAN PARDEW,3/1/2015,1/1/2100,39,0,0,0
3/6/2016,2015/2016,Crystal Palace,Liverpool,1,1,2,ALAN PARDEW,3/1/2015,1/1/2100,40,0,0,0
3/19/2016,2015/2016,Crystal Palace,Leicester City,1,0,1,ALAN PARDEW,3/1/2015,1/1/2100,41,0,0,0
4/2/2016,2015/2016,Crystal Palace,West Ham,0,2,2,ALAN PARDEW,3/1/2015,1/1/2100,42,0,0,0
4/9/2016,2015/2016,Crystal Palace,Norwich City,1,1,0,ALAN PARDEW,3/1/2015,1/1/2100,43,0,0,0
4/13/2016,2015/2016,Crystal Palace,Everton,1,0,0,ALAN PARDEW,3/1/2015,1/1/2100,44,0,0,0
4/17/2016,2015/2016,Crystal Palace,Arsenal,0,1,1,ALAN PARDEW,3/1/2015,1/1/2100,45,0,0,0
4/20/2016,2015/2016,Crystal Palace,Manchester Utd,0,0,2,ALAN PARDEW,3/1/2015,1/1/2100,46,0,0,0
4/30/2016,2015/2016,Crystal Palace,Newcastle Utd,0,0,1,ALAN PARDEW,3/1/2015,1/1/2100,47,0,0,0
5/7/2016,2015/2016,Crystal Palace,Stoke City,1,2,1,ALAN PARDEW,3/1/2015,1/1/2100,48,0,0,0
5/15/2016,2015/2016,Crystal Palace,Southampton,0,1,4,ALAN PARDEW,3/1/2015,1/1/2100,49,0,0,0
8/13/2016,2016/2017,Crystal Palace,West Brom,1,0,1,ALAN PARDEW,3/1/2015,1/1/2100,50,0,0,0
8/20/2016,2016/2017,Crystal Palace,Tottenham,0,0,1,ALAN PARDEW,3/1/2015,1/1/2100,51,0,0,0
8/27/2016,2016/2017,Crystal Palace,Bournemouth,1,1,1,ALAN PARDEW,3/1/2015,1/1/2100,52,0,0,0
9/10/2016,2016/2017,Crystal Palace,Middlesbrough,0,2,1,ALAN PARDEW,3/1/2015,1/1/2100,53,0,0,0
9/18/2016,2016/2017,Crystal Palace,Stoke City,1,4,1,ALAN PARDEW,3/1/2015,1/1/2100,54,0,0,0
9/24/2016,2016/2017,Crystal Palace,Sunderland,0,3,2,ALAN PARDEW,3/1/2015,1/1/2100,55,0,0,0
9/30/2016,2016/2017,Crystal Palace,Everton,0,1,1,ALAN PARDEW,3/1/2015,1/1/2100,56,0,0,0
10/15/2016,2016/2017,Crystal Palace,West Ham,1,0,1,ALAN PARDEW,3/1/2015,1/1/2100,57,0,0,0
10/22/2016,2016/2017,Crystal Palace,Leicester City,0,1,3,ALAN PARDEW,3/1/2015,1/1/2100,58,0,0,0
10/29/2016,2016/2017,Crystal Palace,Liverpool,1,2,4,ALAN PARDEW,3/1/2015,1/1/2100,59,0,0,0
11/5/2016,2016/2017,Crystal Palace,Burnley,0,2,3,ALAN PARDEW,3/1/2015,1/1/2100,60,0,0,0
11/19/2016,2016/2017,Crystal Palace,Manchester City,1,1,2,ALAN PARDEW,3/1/2015,1/1/2100,61,0,0,0
1/14/2017,2016/2017,Crystal Palace,West Ham,0,0,3,FRANK DE BOER,1/7/2017,11/9/2017,1,1,0,0
1/21/2017,2016/2017,Crystal Palace,Everton,1,0,1,FRANK DE BOER,1/7/2017,11/9/2017,2,1,0,0
1/31/2017,2016/2017,Crystal Palace,Bournemouth,0,2,0,FRANK DE BOER,1/7/2017,11/9/2017,3,1,0,0
2/4/2017,2016/2017,Crystal Palace,Sunderland,1,0,4,FRANK DE BOER,1/7/2017,11/9/2017,4,0,1,0
2/11/2017,2016/2017,Crystal Palace,Stoke City,0,0,1,FRANK DE BOER,1/7/2017,11/9/2017,5,0,1,0
2/25/2017,2016/2017,Crystal Palace,Middlesbrough,1,1,0,FRANK DE BOER,1/7/2017,11/9/2017,6,0,1,0
3/4/2017,2016/2017,Crystal Palace,West Brom,0,2,0,FRANK DE BOER,1/7/2017,11/9/2017,7,0,0,1
3/18/2017,2016/2017,Crystal Palace,Watford,1,1,0,FRANK DE BOER,1/7/2017,11/9/2017,8,0,0,1
4/1/2017,2016/2017,Crystal Palace,Chelsea,0,2,1,FRANK DE BOER,1/7/2017,11/9/2017,9,0,0,1
4/5/2017,2016/2017,Crystal Palace,Southampton,0,1,3,FRANK DE BOER,1/7/2017,11/9/2017,10,0,0,1
4/10/2017,2016/2017,Crystal Palace,Arsenal,1,3,0,FRANK DE BOER,1/7/2017,11/9/2017,11,0,0,0
4/15/2017,2016/2017,Crystal Palace,Leicester City,1,2,2,FRANK DE BOER,1/7/2017,11/9/2017,12,0,0,0
4/23/2017,2016/2017,Crystal Palace,Liverpool,0,2,1,FRANK DE BOER,1/7/2017,11/9/2017,13,0,0,0
4/26/2017,2016/2017,Crystal Palace,Tottenham,1,0,1,FRANK DE BOER,1/7/2017,11/9/2017,14,0,0,0
4/29/2017,2016/2017,Crystal Palace,Burnley,1,0,2,FRANK DE BOER,1/7/2017,11/9/2017,15,0,0,0
5/6/2017,2016/2017,Crystal Palace,Manchester City,0,0,5,FRANK DE BOER,1/7/2017,11/9/2017,16,0,0,0
5/14/2017,2016/2017,Crystal Palace,Hull City,1,4,0,FRANK DE BOER,1/7/2017,11/9/2017,17,0,0,0
5/21/2017,2016/2017,Crystal Palace,Manchester Utd,0,0,2,FRANK DE BOER,1/7/2017,11/9/2017,18,0,0,0
8/12/2017,2017/2018,Crystal Palace,Huddersfield,1,0,3,FRANK DE BOER,1/7/2017,11/9/2017,19,0,0,0
8/19/2017,2017/2018,Crystal Palace,Liverpool,0,0,1,FRANK DE BOER,1/7/2017,11/9/2017,20,0,0,0
8/26/2017,2017/2018,Crystal Palace,Swansea City,1,0,2,FRANK DE BOER,1/7/2017,11/9/2017,21,0,0,0
9/10/2017,2017/2018,Crystal Palace,Burnley,0,0,1,FRANK DE BOER,1/7/2017,11/9/2017,22,0,0,0
9/16/2017,2017/2018,Crystal Palace,Southampton,1,0,1,FRANK DE BOER,1/7/2017,11/9/2017,23,0,0,0
9/23/2017,2017/2018,Crystal Palace,Manchester City,0,0,5,FRANK DE BOER,1/7/2017,11/9/2017,24,0,0,0
9/30/2017,2017/2018,Crystal Palace,Manchester Utd,0,0,4,FRANK DE BOER,1/7/2017,11/9/2017,25,0,0,0
10/14/2017,2017/2018,Crystal Palace,Chelsea,1,2,1,FRANK DE BOER,1/7/2017,11/9/2017,26,0,0,0
10/21/2017,2017/2018,Crystal Palace,Newcastle Utd,0,0,1,FRANK DE BOER,1/7/2017,11/9/2017,27,0,0,0
10/28/2017,2017/2018,Crystal Palace,West Ham,1,2,2,FRANK DE BOER,1/7/2017,11/9/2017,28,0,0,0
11/5/2017,2017/2018,Crystal Palace,Tottenham,0,0,1,FRANK DE BOER,1/7/2017,11/9/2017,29,0,0,0
8/16/2014,2014/2015,Crystal Palace,Arsenal,0,1,2,KEITH MILLEN,8/15/2014,1/1/2100,1,1,0,0
8/23/2014,2014/2015,Crystal Palace,West Ham,1,1,3,KEITH MILLEN,8/15/2014,1/1/2100,2,1,0,0
2/7/2015,2014/2015,Crystal Palace,Leicester City,0,1,0,KEITH MILLEN,2/1/2015,12/27/2024,3,1,0,0
2/11/2015,2014/2015,Crystal Palace,Newcastle Utd,1,1,1,KEITH MILLEN,2/1/2015,12/27/2024,4,0,1,0
2/21/2015,2014/2015,Crystal Palace,Arsenal,1,1,2,KEITH MILLEN,2/1/2015,12/27/2024,5,0,1,0
2/28/2015,2014/2015,Crystal Palace,West Ham,0,3,1,KEITH MILLEN,2/1/2015,12/27/2024,6,0,1,0
8/30/2014,2014/2015,Crystal Palace,Newcastle Utd,0,3,3,NEIL WARNOCK,8/27/2014,1/1/2100,1,1,0,0
9/13/2014,2014/2015,Crystal Palace,Burnley,1,0,0,NEIL WARNOCK,8/27/2014,1/1/2100,2,1,0,0
9/21/2014,2014/2015,Crystal Palace,Everton,0,3,2,NEIL WARNOCK,8/27/2014,1/1/2100,3,1,0,0
9/27/2014,2014/2015,Crystal Palace,Leicester City,1,2,0,NEIL WARNOCK,8/27/2014,1/1/2100,4,0,1,0
10/4/2014,2014/2015,Crystal Palace,Hull City,0,0,2,NEIL WARNOCK,8/27/2014,1/1/2100,5,0,1,0
10/18/2014,2014/2015,Crystal Palace,Chelsea,1,1,2,NEIL WARNOCK,8/27/2014,1/1/2100,6,0,1,0
10/25/2014,2014/2015,Crystal Palace,West Brom,0,2,2,NEIL WARNOCK,8/27/2014,1/1/2100,7,0,0,1
11/3/2014,2014/2015,Crystal Palace,Sunderland,1,1,3,NEIL WARNOCK,8/27/2014,1/1/2100,8,0,0,1
11/8/2014,2014/2015,Crystal Palace,Manchester Utd,0,0,1,NEIL WARNOCK,8/27/2014,1/1/2100,9,0,0,1
11/23/2014,2014/2015,Crystal Palace,Liverpool,1,3,1,NEIL WARNOCK,8/27/2014,1/1/2100,10,0,0,1
11/29/2014,2014/2015,Crystal Palace,Swansea City,0,1,1,NEIL WARNOCK,8/27/2014,1/1/2100,11,0,0,0
12/2/2014,2014/2015,Crystal Palace,Aston Villa,1,0,1,NEIL WARNOCK,8/27/2014,1/1/2100,12,0,0,0
12/6/2014,2014/2015,Crystal Palace,Tottenham,0,0,0,NEIL WARNOCK,8/27/2014,1/1/2100,13,0,0,0
12/13/2014,2014/2015,Crystal Palace,Stoke City,1,1,1,NEIL WARNOCK,8/27/2014,1/1/2100,14,0,0,0
12/20/2014,2014/2015,Crystal Palace,Manchester City,0,0,3,NEIL WARNOCK,8/27/2014,1/1/2100,15,0,0,0
12/26/2014,2014/2015,Crystal Palace,Southampton,1,1,3,NEIL WARNOCK,8/27/2014,1/1/2100,16,0,0,0
12/28/2014,2014/2015,Crystal Palace,QPR,0,0,0,NEIL WARNOCK,8/27/2014,1/1/2100,17,0,0,0
1/1/2015,2014/2015,Crystal Palace,Aston Villa,0,0,0,NEIL WARNOCK,8/27/2014,1/1/2100,18,0,0,0
1/10/2015,2014/2015,Crystal Palace,Tottenham,1,2,1,NEIL WARNOCK,8/27/2014,1/1/2100,19,0,0,0
1/17/2015,2014/2015,Crystal Palace,Burnley,0,3,2,NEIL WARNOCK,8/27/2014,1/1/2100,20,0,0,0
1/31/2015,2014/2015,Crystal Palace,Everton,1,0,1,NEIL WARNOCK,8/27/2014,1/1/2100,21,0,0,0
2/24/2024,2023/2024,Crystal Palace,Burnley,1,3,0,OLIVER GASNER,2/20/2024,1/1/2100,1,1,0,0
3/2/2024,2023/2024,Crystal Palace,Tottenham,0,1,3,OLIVER GASNER,2/20/2024,1/1/2100,2,1,0,0
3/9/2024,2023/2024,Crystal Palace,Luton Town,1,1,1,OLIVER GASNER,2/20/2024,1/1/2100,3,1,0,0
3/30/2024,2023/2024,Crystal Palace,Nott'ham Forest,0,1,1,OLIVER GASNER,2/20/2024,1/1/2100,4,0,1,0
4/2/2024,2023/2024,Crystal Palace,Bournemouth,0,0,1,OLIVER GASNER,2/20/2024,1/1/2100,5,0,1,0
4/6/2024,2023/2024,Crystal Palace,Manchester City,1,2,4,OLIVER GASNER,2/20/2024,1/1/2100,6,0,1,0
4/14/2024,2023/2024,Crystal Palace,Liverpool,0,1,0,OLIVER GASNER,2/20/2024,1/1/2100,7,0,0,1
4/21/2024,2023/2024,Crystal Palace,West Ham,1,5,2,OLIVER GASNER,2/20/2024,1/1/2100,8,0,0,1
4/24/2024,2023/2024,Crystal Palace,Newcastle Utd,1,2,0,OLIVER GASNER,2/20/2024,1/1/2100,9,0,0,1
4/27/2024,2023/2024,Crystal Palace,Fulham,0,1,1,OLIVER GASNER,2/20/2024,1/1/2100,10,0,0,1
5/6/2024,2023/2024,Crystal Palace,Manchester Utd,1,4,0,OLIVER GASNER,2/20/2024,1/1/2100,11,0,0,0
5/11/2024,2023/2024,Crystal Palace,Wolves,0,3,1,OLIVER GASNER,2/20/2024,1/1/2100,12,0,0,0
5/19/2024,2023/2024,Crystal Palace,Aston Villa,1,5,0,OLIVER GASNER,2/20/2024,1/1/2100,13,0,0,0
3/19/2023,2022/2023,Crystal Palace,Arsenal,0,1,4,PATRICK MCCARTHY,3/17/2023,1/1/2100,1,1,0,0
4/10/2021,2020/2021,Crystal Palace,Chelsea,1,1,4,PATRICK VIEIRA,4/7/2021,1/1/2100,1,1,0,0
4/26/2021,2020/2021,Crystal Palace,Leicester City,0,1,2,PATRICK VIEIRA,4/7/2021,1/1/2100,2,1,0,0
5/1/2021,2020/2021,Crystal Palace,Manchester City,1,0,2,PATRICK VIEIRA,4/7/2021,1/1/2100,3,1,0,0
